,race_id,venue,race_no,config,surface,distance,going,horse_ratings,prize,race_class,sec_time1,sec_time2,sec_time3,sec_time4,time1,time2,time3,time4,place_combination1,place_combination2,place_combination3,place_dividend1,place_dividend2,place_dividend3
1445,1445,1,2,0,0,1650,0,60-40,625000.0,4,27.2,24.14,25.75,23.68,27.2,51.34,77.09,100.77,11,3,7.0,23.5,16.0,21.0
1446,1446,1,3,0,0,1200,0,65-40,625000.0,4,23.53,22.61,23.9,,23.53,46.14,70.04,,10,11,1.0,54.5,34.0,39.5
1447,1447,1,4,0,0,1650,0,60-40,625000.0,4,27.47,23.94,24.62,23.34,27.47,51.41,76.03,99.37,9,7,3.0,14.5,16.0,13.0
1448,1448,1,5,0,0,1000,0,80-60,850000.0,3,12.83,21.69,22.09,,12.83,34.52,56.61,,10,5,1.0,25.0,13.5,18.0
1449,1449,1,6,0,0,1200,0,85-60,850000.0,3,23.58,22.81,22.93,,23.58,46.39,69.32,,6,3,1.0,15.5,25.5,15.5
1450,1450,1,7,0,0,1800,0,100-80,1150000.0,2,13.66,21.91,24.7,24.7,13.66,35.57,60.27,84.97,4,6,1.0,102.0,58.5,17.5
1451,1451,1,8,0,0,1650,0,80-60,850000.0,3,27.52,23.53,25.03,24.03,27.52,51.05,76.08,100.11,2,7,11.0,30.0,52.5,20.5
1452,1452,0,1,0,0,1200,1,60-40,625000.0,4,24.0,22.72,23.48,,24.0,46.72,70.2,,2,12,11.0,12.0,21.0,50.5
1453,1453,0,2,0,0,1200,1,60-40,625000.0,4,23.92,22.5,23.1,,23.92,46.42,69.52,,2,3,12.0,20.0,14.5,56.0
1454,1454,0,3,0,0,1400,1,60-40,625000.0,4,13.92,22.62,22.97,23.69,13.92,36.54,59.51,83.2,3,1,10.0,15.0,24.5,45.5
1455,1455,0,4,0,0,1600,1,95-75,1150000.0,2,24.73,23.81,24.06,22.83,24.73,48.54,72.6,95.43,14,1,8.0,31.5,18.5,16.5
1456,1456,0,5,0,0,1400,1,40-0,485000.0,5,13.72,22.84,23.75,23.75,13.72,36.56,60.31,84.06,5,10,13.0,27.5,16.5,163.0
1457,1457,0,6,0,0,1600,1,60-40,625000.0,4,24.34,23.45,24.8,23.42,24.34,47.79,72.59,96.01,4,8,3.0,26.0,55.5,16.5
1458,1458,0,7,0,0,1400,1,75-55,850000.0,3,13.61,22.41,23.73,23.39,13.61,36.02,59.75,83.14,4,8,10.0,20.0,82.0,27.5
1459,1459,0,8,0,0,1600,1,115-95,1750000.0,1,24.55,23.34,23.88,22.89,24.55,47.89,71.77,94.66,6,1,8.0,28.0,18.0,20.0
1460,1460,0,9,0,0,1200,1,80-60,850000.0,3,24.44,22.8,22.83,,24.44,47.24,70.07,,5,13,4.0,15.0,40.5,27.5
1461,1461,0,10,0,0,1600,1,75-55,850000.0,3,25.05,23.89,24.08,23.11,25.05,48.94,73.02,96.13,3,12,7.0,34.5,15.0,27.5
1462,1462,0,11,0,0,1400,1,95-75,1150000.0,2,13.17,21.56,23.66,23.9,13.17,34.73,58.39,82.29,5,2,3.0,14.5,72.5,32.0
1463,1463,1,1,2,0,1200,0,40-0,485000.0,5,23.8,22.75,23.8,,23.8,46.55,70.35,,9,5,2.0,32.0,18.0,90.0
1464,1464,1,2,2,0,1650,0,60-40,625000.0,4,27.59,24.09,24.59,23.79,27.59,51.68,76.27,100.06,4,3,1.0,14.5,127.5,17.5
1465,1465,1,3,2,0,1200,0,60-40,625000.0,4,23.47,22.94,23.65,,23.47,46.41,70.06,,10,8,4.0,46.0,16.0,20.0
1466,1466,1,4,2,0,1800,0,60-40,625000.0,4,13.56,22.91,23.83,25.17,13.56,36.47,60.3,85.47,8,7,6.0,14.5,15.5,26.0
1467,1467,1,5,2,0,1800,0,80-60,850000.0,3,13.36,22.3,24.5,24.78,13.36,35.66,60.16,84.94,2,9,10.0,16.0,18.0,19.5
1468,1468,1,6,2,0,1200,0,80-60,850000.0,3,23.36,22.16,23.69,,23.36,45.52,69.21,,10,3,11.0,24.0,14.0,16.0
1469,1469,1,7,2,0,1650,0,85-60,850000.0,3,27.36,22.94,24.92,23.95,27.36,50.3,75.22,99.17,7,4,6.0,16.0,24.5,19.5
1470,1470,1,8,2,0,1200,0,105-80,1400000.0,1,23.19,22.11,23.77,,23.19,45.3,69.07,,4,3,5.0,22.0,22.0,18.5
1471,1471,0,1,0,0,1200,1,40-15,500000.0,5,24.36,22.55,23.59,,24.36,46.91,70.5,,3,4,6.0,12.0,44.5,20.0
1472,1472,0,2,0,0,1600,1,60-40,640000.0,4,24.31,23.31,23.59,23.91,24.31,47.62,71.21,95.12,8,10,3.0,16.0,17.5,24.5
1473,1473,0,3,0,0,1400,1,100-80,1150000.0,2,13.72,21.72,22.78,23.3,13.72,35.44,58.22,81.52,1,7,6.0,12.5,24.0,13.0
1474,1474,0,4,0,0,1200,1,120-95,1750000.0,1,24.53,22.62,21.92,,24.53,47.15,69.07,,7,6,5.0,12.0,30.0,48.5
1475,1475,0,5,0,0,1400,1,40-15,500000.0,5,13.75,22.56,23.7,23.19,13.75,36.31,60.01,83.2,7,12,14.0,19.0,44.0,47.5
1476,1476,0,6,0,0,1200,1,60-40,640000.0,4,23.7,22.55,23.49,,23.7,46.25,69.74,,2,3,4.0,22.0,14.5,14.0
1477,1477,0,7,0,0,1000,1,100-80,1150000.0,2,13.34,20.61,22.05,,13.34,33.95,56.0,,8,3,1.0,35.0,10.1,14.5
1478,1478,0,8,0,0,1200,1,80-60,850000.0,3,23.27,22.48,23.61,,23.27,45.75,69.36,,3,7,2.0,11.5,11.0,26.0
1479,1479,0,9,0,0,1400,1,60-40,640000.0,4,13.72,21.86,23.91,23.35,13.72,35.58,59.49,82.84,4,9,6.0,27.5,15.5,17.5
1480,1480,0,10,0,0,1400,1,80-60,850000.0,3,13.84,21.52,23.48,23.61,13.84,35.36,58.84,82.45,4,7,6.0,13.0,33.0,20.0
1481,1481,1,1,0,0,1000,1,60-40,640000.0,4,13.05,21.17,23.03,,13.05,34.22,57.25,,5,4,3.0,16.0,87.5,14.5
1482,1482,1,2,0,0,1200,1,40-15,500000.0,5,23.72,22.56,23.71,,23.72,46.28,69.99,,1,9,10.0,26.0,69.5,26.5
1483,1483,1,3,0,0,1200,1,100-80,1150000.0,2,24.03,23.03,22.69,,24.03,47.06,69.75,,2,6,7.0,12.5,43.5,29.0
1484,1484,1,4,0,0,1650,1,40-15,500000.0,5,28.05,24.44,25.44,24.14,28.05,52.49,77.93,102.07,3,12,11.0,19.5,42.5,74.5
1485,1485,1,5,0,0,1200,1,60-40,640000.0,4,24.19,23.2,23.1,,24.19,47.39,70.49,,3,8,10.0,21.0,33.0,23.0
1486,1486,1,6,0,0,1650,1,80-60,850000.0,3,27.2,23.81,25.75,23.8,27.2,51.01,76.76,100.56,7,2,9.0,14.0,15.5,53.5
1487,1487,1,7,0,0,1650,1,60-40,640000.0,4,27.56,24.28,24.23,24.65,27.56,51.84,76.07,100.72,10,11,9.0,18.0,33.5,32.0
1488,1488,1,8,0,0,1000,7,80-60,850000.0,3,12.75,21.72,23.25,,12.75,34.47,57.72,,1,5,8.0,103.0,24.0,16.5
1489,1489,0,1,5,0,1000,1,40-15,500000.0,5,13.58,21.31,22.48,,13.58,34.89,57.37,,2,1,10.0,59.5,38.0,22.0
1490,1490,0,2,5,0,1400,1,60-40,640000.0,4,13.95,22.64,23.34,23.24,13.95,36.59,59.93,83.17,8,4,2.0,14.5,19.5,17.0
1491,1491,0,3,5,0,1000,2,60-40,640000.0,4,13.45,20.69,23.08,,13.45,34.14,57.22,,1,2,5.0,18.5,16.0,20.5
1492,1492,0,4,5,0,1600,2,40-15,500000.0,5,25.11,23.77,23.88,23.93,25.11,48.88,72.76,96.69,1,6,7.0,17.5,34.0,46.0
1493,1493,0,5,0,1,1200,3,60-40,640000.0,4,23.75,22.36,23.59,,23.75,46.11,69.7,,5,11,2.0,13.5,18.0,43.0
1494,1494,0,6,5,0,1400,2,60-40,640000.0,4,13.66,21.59,23.5,24.3,13.66,35.25,58.75,83.05,7,9,6.0,23.5,12.0,29.0
1495,1495,0,7,5,0,1000,2,80-60,850000.0,3,13.08,20.66,23.05,,13.08,33.74,56.79,,2,5,8.0,10.1,37.0,22.0
1496,1496,0,8,0,1,1200,3,85-60,850000.0,3,23.48,22.95,24.0,,23.48,46.43,70.43,,8,2,1.0,46.0,14.0,23.5
1497,1497,0,9,5,0,1400,2,80-60,850000.0,3,13.77,22.05,24.52,24.15,13.77,35.82,60.34,84.49,4,7,8.0,39.0,27.5,13.5
1498,1498,0,10,5,0,1400,5,95-75,1150000.0,2,13.66,22.2,23.72,23.66,13.66,35.86,59.58,83.24,14,2,3.0,24.5,17.5,24.0
1499,1499,1,1,2,0,1200,1,60-40,640000.0,4,23.67,22.48,23.56,,23.67,46.15,69.71,,3,6,9.0,12.0,40.5,25.5
1500,1500,1,2,2,0,1200,0,60-40,640000.0,4,23.67,22.62,23.9,,23.67,46.29,70.19,,2,5,1.0,15.0,24.5,26.0
1501,1501,1,3,2,0,1200,0,40-15,500000.0,5,23.81,23.22,23.63,,23.81,47.03,70.66,,8,10,6.0,14.5,189.5,26.0
1502,1502,1,4,2,0,1650,0,60-40,640000.0,4,27.62,23.99,24.94,24.23,27.62,51.61,76.55,100.78,5,7,3.0,25.0,92.5,19.5
1503,1503,1,5,2,0,1000,0,80-60,850000.0,3,12.88,21.3,22.93,,12.88,34.18,57.11,,2,6,1.0,11.0,26.0,30.5
1504,1504,1,6,2,0,1650,0,65-40,640000.0,4,28.02,24.55,24.33,23.17,28.02,52.57,76.9,100.07,11,8,9.0,13.0,14.5,98.5
1505,1505,1,7,2,0,1200,0,80-60,850000.0,3,23.62,23.27,23.03,,23.62,46.89,69.92,,12,9,8.0,20.5,32.5,65.5
1506,1506,1,8,2,0,1650,0,80-60,850000.0,3,27.34,23.64,25.58,23.64,27.34,50.98,76.56,100.2,5,2,12.0,30.5,45.0,38.0
1507,1507,0,1,1,0,1000,1,60-40,640000.0,4,13.5,21.28,22.04,,13.5,34.78,56.82,,3,4,7.0,35.5,23.0,77.0
1508,1508,0,2,1,0,1200,1,60-40,640000.0,4,24.11,22.14,23.76,,24.11,46.25,70.01,,8,1,2.0,12.5,19.0,23.5
1509,1509,0,3,1,0,1200,1,80-60,850000.0,3,24.34,22.44,22.65,,24.34,46.78,69.43,,8,2,10.0,15.5,13.5,73.5
1510,1510,0,4,1,0,1400,1,40-15,500000.0,5,13.95,21.98,23.58,23.75,13.95,35.93,59.51,83.26,13,11,5.0,24.5,73.5,14.0
1511,1511,0,5,1,0,1600,1,60-40,640000.0,4,25.24,22.69,23.78,23.73,25.24,47.93,71.71,95.44,6,5,12.0,33.0,23.5,169.5
1512,1512,0,6,1,0,1400,1,60-40,640000.0,4,13.94,22.36,23.67,23.01,13.94,36.3,59.97,82.98,6,4,2.0,17.5,20.5,17.5
1513,1513,0,7,1,0,1200,1,80-60,850000.0,3,24.25,22.27,22.85,,24.25,46.52,69.37,,9,4,1.0,17.0,53.5,11.0
1514,1514,0,8,1,0,1600,1,80-60,850000.0,3,25.16,23.0,23.89,22.82,25.16,48.16,72.05,94.87,8,1,4.0,12.0,18.0,26.0
1515,1515,0,9,1,0,1400,1,115-90,1750000.0,1,13.73,22.14,23.08,23.11,13.73,35.87,58.95,82.06,9,4,2.0,41.0,36.0,22.5
1516,1516,0,10,1,0,1400,1,85-60,850000.0,3,13.8,22.05,23.91,23.05,13.8,35.85,59.76,82.81,2,10,14.0,43.5,80.0,30.5
1517,1517,1,1,4,0,1000,1,40-15,500000.0,5,12.88,22.02,22.88,,12.88,34.9,57.78,,4,5,7.0,33.5,17.0,16.5
1518,1518,1,2,4,0,1000,1,60-40,640000.0,4,12.99,21.58,22.66,,12.99,34.57,57.23,,2,7,9.0,11.5,24.5,15.0
1519,1519,1,3,4,0,1800,1,60-40,640000.0,4,14.0,23.41,24.27,24.8,14.0,37.41,61.68,86.48,9,2,5.0,11.0,25.5,47.5
1520,1520,1,4,4,0,1650,1,40-15,500000.0,5,28.17,23.78,25.33,24.11,28.17,51.95,77.28,101.39,3,8,11.0,14.0,29.0,28.0
1521,1521,1,5,4,0,1650,1,60-40,640000.0,4,27.67,24.03,24.84,23.85,27.67,51.7,76.54,100.39,11,5,7.0,19.0,28.0,18.0
1522,1522,1,6,4,0,1200,1,60-40,640000.0,4,23.64,22.39,23.9,,23.64,46.03,69.93,,6,1,2.0,27.0,36.5,19.5
1523,1523,1,7,4,0,1800,1,80-60,850000.0,3,13.81,22.75,24.91,24.55,13.81,36.56,61.47,86.02,6,4,5.0,20.5,16.5,14.5
1524,1524,1,8,4,0,1200,1,80-60,850000.0,3,23.66,23.03,23.18,,23.66,46.69,69.87,,2,5,8.0,18.5,34.0,16.0
1525,1525,1,9,4,0,1650,1,100-80,1150000.0,2,27.8,23.0,24.52,23.85,27.8,50.8,75.32,99.17,3,1,5.0,12.0,27.5,17.5
1526,1526,1,10,4,0,1650,1,80-60,850000.0,3,27.38,24.58,25.16,23.58,27.38,51.96,77.12,100.7,8,9,1.0,13.0,26.0,70.5
1527,1527,0,1,3,0,1400,1,40-15,500000.0,5,13.48,21.41,23.77,24.19,13.48,34.89,58.66,82.85,11,13,4.0,35.5,81.5,70.0
1528,1528,0,2,3,0,1200,1,60-40,640000.0,4,24.22,22.78,22.88,,24.22,47.0,69.88,,4,3,9.0,13.5,11.5,26.5
1529,1529,0,3,0,1,1650,1,60-40,640000.0,4,27.83,23.09,24.17,24.15,27.83,50.92,75.09,99.24,10,8,9.0,14.5,57.0,52.5
1530,1530,0,4,3,0,1800,1,40-15,500000.0,5,14.06,22.11,24.03,24.25,14.06,36.17,60.2,84.45,4,9,8.0,16.0,19.5,53.0
1531,1531,0,5,3,0,1400,1,60-40,640000.0,4,13.61,22.19,23.64,23.66,13.61,35.8,59.44,83.1,7,1,12.0,25.0,23.0,16.5
1532,1532,0,6,3,0,1200,1,65-40,640000.0,4,23.62,23.41,23.28,,23.62,47.03,70.31,,6,8,12.0,16.5,23.5,34.0
1533,1533,0,7,0,1,1200,1,80-60,850000.0,3,24.2,22.77,22.86,,24.2,46.97,69.83,,6,1,11.0,82.5,16.0,19.5
1534,1534,0,8,3,0,1600,1,80-60,850000.0,3,24.36,22.83,24.28,23.53,24.36,47.19,71.47,95.0,7,5,6.0,18.5,14.0,20.5
1535,1535,0,9,3,0,1400,1,80-60,850000.0,3,13.34,22.03,22.75,23.8,13.34,35.37,58.12,81.92,5,13,9.0,17.5,16.0,26.0
1536,1536,0,10,3,0,1200,1,100-80,1150000.0,2,24.12,22.11,22.92,,24.12,46.23,69.15,,8,12,6.0,17.5,64.0,46.5
1537,1537,0,1,4,0,1800,0,80-60,850000.0,3,14.03,22.03,23.22,24.72,14.03,36.06,59.28,84.0,3,2,,12.0,29.0,
1538,1538,0,2,4,0,1200,0,60-40,640000.0,4,24.2,22.61,23.0,,24.2,46.81,69.81,,8,2,7.0,14.0,16.0,38.5
1539,1539,0,3,4,0,1600,0,40-15,500000.0,5,24.48,22.73,24.56,24.17,24.48,47.21,71.77,95.94,1,4,14.0,14.0,14.5,32.5
1540,1540,0,4,4,0,1400,0,60-40,640000.0,4,13.92,21.41,23.25,23.98,13.92,35.33,58.58,82.56,7,5,12.0,37.0,39.5,91.0
1541,1541,0,5,4,0,1000,0,80-60,850000.0,3,13.33,20.62,22.74,,13.33,33.95,56.69,,1,13,4.0,20.5,13.0,72.0
1542,1542,0,6,4,0,1600,0,60-40,640000.0,4,24.53,22.55,24.58,23.69,24.53,47.08,71.66,95.35,5,9,10.0,22.0,15.5,375.5
1543,1543,0,7,4,0,1000,0,G,2300000.0,13,13.22,20.53,22.2,,13.22,33.75,55.95,,1,5,7.0,12.5,12.5,92.0
1544,1544,0,8,4,0,1600,0,105-80,1400000.0,1,24.5,22.7,23.7,23.52,24.5,47.2,70.9,94.42,10,11,3.0,57.0,44.0,45.5
1545,1545,0,9,4,0,1400,0,G,2300000.0,13,13.59,21.42,22.97,22.45,13.59,35.01,57.98,80.43,11,1,12.0,13.5,18.0,20.0
1546,1546,0,10,4,0,1400,0,80-60,850000.0,3,13.61,21.84,23.92,22.99,13.61,35.45,59.37,82.36,2,8,11.0,22.5,25.0,15.0
1547,1547,1,1,0,0,1200,1,40-15,500000.0,5,24.27,23.03,23.39,,24.27,47.3,70.69,,5,11,12.0,27.5,36.5,30.0
1548,1548,1,2,0,0,1200,1,60-40,640000.0,4,23.72,22.42,24.15,,23.72,46.14,70.29,,4,6,10.0,66.5,13.5,21.0
1549,1549,1,3,0,0,1200,1,60-40,640000.0,4,24.17,23.03,23.44,,24.17,47.2,70.64,,2,5,8.0,37.0,21.5,38.0
1550,1550,1,4,0,0,1800,1,60-40,640000.0,4,13.61,22.17,24.22,25.09,13.61,35.78,60.0,85.09,6,2,10.0,14.0,24.0,10.5
1551,1551,1,5,0,0,1650,1,80-60,850000.0,3,27.33,23.75,24.52,24.27,27.33,51.08,75.6,99.87,7,6,3.0,17.5,18.0,19.5
1552,1552,1,6,0,0,1650,1,80-60,850000.0,3,27.66,24.75,24.86,23.34,27.66,52.41,77.27,100.61,5,12,8.0,11.0,21.0,17.0
1553,1553,1,7,0,0,1200,1,80-60,850000.0,3,23.78,22.73,23.35,,23.78,46.51,69.86,,2,7,3.0,15.0,18.0,23.5
1554,1554,1,8,0,0,1000,1,100-80,1150000.0,2,12.73,20.99,23.16,,12.73,33.72,56.88,,12,4,10.0,24.0,24.0,17.5
1555,1555,0,1,0,1,1200,1,60-40,640000.0,4,23.88,22.45,23.44,,23.88,46.33,69.77,,9,4,12.0,69.0,32.5,26.0
1556,1556,0,2,0,0,1200,1,60-40,640000.0,4,23.64,22.69,23.73,,23.64,46.33,70.06,,12,13,4.0,37.0,61.0,38.5
1557,1557,0,3,0,0,1400,1,60-40,640000.0,4,13.72,22.27,23.45,23.07,13.72,35.99,59.44,82.51,7,1,8.0,12.5,24.5,82.0
1558,1558,0,4,0,1,1650,1,40-10,500000.0,5,28.55,23.94,24.69,24.02,28.55,52.49,77.18,101.2,13,7,12.0,22.0,17.0,25.5
1559,1559,0,5,0,0,1600,1,60-40,640000.0,4,25.11,22.92,24.25,23.56,25.11,48.03,72.28,95.84,5,11,1.0,12.0,30.5,24.0
1560,1560,0,6,0,1,1650,3,85-60,850000.0,3,28.47,23.55,24.41,23.93,28.47,52.02,76.43,100.36,6,1,11.0,46.5,33.0,58.0
1561,1561,0,7,0,1,1200,3,105-80,1400000.0,1,23.39,21.97,23.88,,23.39,45.36,69.24,,7,8,1.0,33.0,15.0,118.0
1562,1562,0,8,0,0,1400,1,80-60,850000.0,3,13.42,21.89,23.83,23.31,13.42,35.31,59.14,82.45,7,10,2.0,27.5,36.5,75.0
1563,1563,0,9,0,0,1200,1,80-60,850000.0,3,23.94,22.66,23.31,,23.94,46.6,69.91,,3,8,14.0,14.0,19.5,54.0
1564,1564,0,10,0,0,1400,1,100-80,1150000.0,2,13.7,21.56,23.14,24.3,13.7,35.26,58.4,82.7,7,4,5.0,126.0,16.5,23.5
1565,1565,1,1,2,0,1650,0,40-15,500000.0,5,27.75,23.97,24.78,24.41,27.75,51.72,76.5,100.91,5,6,4.0,42.5,15.5,31.0
1566,1566,1,2,2,0,1200,0,60-40,640000.0,4,23.62,22.86,23.87,,23.62,46.48,70.35,,3,8,5.0,14.0,21.0,62.5
1567,1567,1,3,2,0,1000,0,60-40,640000.0,4,12.69,21.41,23.02,,12.69,34.1,57.12,,4,12,7.0,11.5,28.5,54.0
1568,1568,1,4,2,0,1650,0,60-40,640000.0,4,27.47,23.73,24.38,24.5,27.47,51.2,75.58,100.08,3,9,6.0,16.5,36.0,37.0
1569,1569,1,5,2,0,1800,0,80-60,850000.0,3,13.89,22.34,24.34,24.61,13.89,36.23,60.57,85.18,10,5,6.0,16.0,13.0,80.0
1570,1570,1,6,2,0,1200,0,80-60,850000.0,3,23.75,22.86,23.26,,23.75,46.61,69.87,,9,1,6.0,18.5,16.5,14.0
1571,1571,1,7,2,0,1650,0,80-60,850000.0,3,27.53,23.8,24.7,23.96,27.53,51.33,76.03,99.99,8,1,4.0,22.0,21.5,12.0
1572,1572,1,8,2,0,1650,0,95-75,1150000.0,2,27.59,23.53,24.28,24.01,27.59,51.12,75.4,99.41,1,11,7.0,18.0,22.0,28.5
1573,1573,0,1,1,0,1200,0,40-15,500000.0,5,23.86,22.94,23.67,,23.86,46.8,70.47,,1,9,12.0,24.0,38.0,64.0
1574,1574,0,2,1,0,1200,0,60-40,640000.0,4,24.0,22.58,22.87,,24.0,46.58,69.45,,2,13,11.0,10.1,13.5,34.5
1575,1575,0,3,1,0,1000,0,60-40,640000.0,4,13.16,20.92,22.9,,13.16,34.08,56.98,,11,7,3.0,41.0,25.0,15.5
1576,1576,0,4,1,0,1800,0,65-40,640000.0,4,13.75,22.02,24.23,24.52,13.75,35.77,60.0,84.52,12,6,11.0,21.0,20.0,33.0
1577,1577,0,5,1,0,1400,0,60-40,640000.0,4,13.53,22.5,23.56,23.13,13.53,36.03,59.59,82.72,4,10,14.0,14.5,31.0,58.5
1578,1578,0,6,1,0,1600,0,85-60,850000.0,3,25.55,23.48,23.75,23.18,25.55,49.03,72.78,95.96,10,13,4.0,26.5,25.5,16.0
1579,1579,0,7,1,0,1200,0,80-60,850000.0,3,23.59,22.53,23.36,,23.59,46.12,69.48,,5,3,8.0,10.1,15.0,22.5
1580,1580,0,8,1,0,1800,0,115-90,1750000.0,1,14.08,22.56,23.78,23.3,14.08,36.64,60.42,83.72,8,1,6.0,12.0,19.5,46.5
1581,1581,0,9,1,0,1200,0,100-80,1150000.0,2,23.94,22.3,22.7,,23.94,46.24,68.94,,8,11,12.0,10.5,16.0,34.0
1582,1582,0,10,1,0,1400,0,80-60,850000.0,3,13.31,21.34,23.34,23.94,13.31,34.65,57.99,81.93,6,12,7.0,15.0,19.0,115.5
1583,1583,1,1,4,0,1200,0,40-10,500000.0,5,24.0,24.08,23.18,,24.0,48.08,71.26,,8,4,12.0,22.5,14.5,87.0
1584,1584,1,2,4,0,1200,0,60-40,640000.0,4,24.2,22.62,23.53,,24.2,46.82,70.35,,6,9,8.0,18.0,30.0,28.0
1585,1585,1,3,4,0,1800,0,40-10,500000.0,5,14.14,23.19,25.03,25.41,14.14,37.33,62.36,87.77,10,11,5.0,18.5,20.5,21.0
1586,1586,1,4,4,0,1200,0,60-40,640000.0,4,24.06,23.3,23.55,,24.06,47.36,70.91,,9,4,11.0,33.0,25.5,47.5
1587,1587,1,5,4,0,1000,0,80-60,850000.0,3,12.81,21.52,22.96,,12.81,34.33,57.29,,4,12,2.0,14.0,26.0,49.5
1588,1588,1,6,4,0,1650,0,60-40,640000.0,4,27.91,23.25,25.22,24.71,27.91,51.16,76.38,101.09,9,8,10.0,21.0,20.5,17.0
1589,1589,1,7,4,0,1200,0,80-60,850000.0,3,23.69,23.06,23.53,,23.69,46.75,70.28,,11,10,8.0,31.5,54.5,33.0
1590,1590,1,8,4,0,1650,0,80-60,850000.0,3,27.88,23.36,25.59,23.52,27.88,51.24,76.83,100.35,8,3,9.0,33.5,14.0,14.5
1591,1591,0,1,3,0,1400,0,40-15,500000.0,5,13.77,22.5,23.5,23.46,13.77,36.27,59.77,83.23,4,14,10.0,14.5,30.0,76.5
1592,1592,0,2,3,0,1200,0,60-40,640000.0,4,24.12,23.09,23.02,,24.12,47.21,70.23,,1,12,13.0,115.5,41.5,58.0
1593,1593,0,3,3,0,1800,0,95-75,1150000.0,2,14.11,23.3,23.88,23.59,14.11,37.41,61.29,84.88,8,5,1.0,19.5,17.0,20.5
1594,1594,0,4,3,0,1600,0,60-40,640000.0,4,24.58,22.77,23.45,24.41,24.58,47.35,70.8,95.21,9,12,3.0,72.0,51.5,43.0
1595,1595,0,5,3,0,1400,0,65-40,640000.0,4,13.52,21.95,23.22,23.38,13.52,35.47,58.69,82.07,11,3,2.0,12.0,23.5,28.0
1596,1596,0,6,3,0,1400,0,100-80,1150000.0,2,13.78,22.09,23.62,22.94,13.78,35.87,59.49,82.43,13,1,14.0,16.0,21.5,67.5
1597,1597,0,7,3,0,1200,0,G,2300000.0,13,24.12,22.3,22.29,,24.12,46.42,68.71,,12,11,4.0,19.0,35.0,13.5
1598,1598,0,8,3,0,1600,0,G,2300000.0,13,24.36,23.03,23.09,23.08,24.36,47.39,70.48,93.56,6,1,13.0,19.0,15.5,17.5
1599,1599,0,9,3,0,1200,0,80-60,850000.0,3,23.78,22.31,23.36,,23.78,46.09,69.45,,6,11,1.0,21.0,14.5,63.0
1600,1600,0,10,3,0,1600,0,80-60,850000.0,3,24.45,22.44,24.08,23.66,24.45,46.89,70.97,94.63,13,14,5.0,23.0,29.5,16.0
1601,1601,1,1,0,0,1000,1,60-40,640000.0,4,12.7,21.53,23.4,,12.7,34.23,57.63,,4,11,3.0,17.5,14.5,18.5
1602,1602,1,2,0,0,1650,1,40-15,500000.0,5,27.81,24.31,25.81,24.68,27.81,52.12,77.93,102.61,2,9,8.0,21.0,18.0,19.0
1603,1603,1,3,0,0,1650,1,40-15,500000.0,5,28.05,24.64,25.19,24.78,28.05,52.69,77.88,102.66,11,2,12.0,13.0,17.0,21.5
1604,1604,1,4,0,0,1800,1,60-40,640000.0,4,13.59,23.27,26.14,25.2,13.59,36.86,63.0,88.2,2,8,10.0,16.0,24.0,14.5
1605,1605,1,5,0,0,1200,1,60-40,640000.0,4,23.77,22.61,24.23,,23.77,46.38,70.61,,10,2,9.0,18.5,13.0,51.0
1606,1606,1,6,0,0,1650,1,65-40,640000.0,4,27.2,24.72,24.8,24.46,27.2,51.92,76.72,101.18,2,10,3.0,17.0,89.0,35.5
1607,1607,1,7,0,0,1200,1,105-80,1400000.0,1,23.44,22.81,23.91,,23.44,46.25,70.16,,2,6,5.0,20.0,23.0,36.0
1608,1608,1,8,0,0,1800,1,80-60,850000.0,3,13.36,22.33,25.5,25.06,13.36,35.69,61.19,86.25,7,1,3.0,13.5,18.0,33.5
1609,1609,1,9,0,0,1200,1,85-60,850000.0,3,24.2,23.48,22.93,,24.2,47.68,70.61,,5,1,10.0,15.0,22.0,33.5
1610,1610,1,10,0,0,1650,1,85-60,850000.0,3,27.48,24.94,24.31,24.23,27.48,52.42,76.73,100.96,3,12,11.0,12.5,166.0,59.0
1611,1611,0,1,0,1,1200,1,60-40,640000.0,4,23.61,22.66,23.42,,23.61,46.27,69.69,,2,10,5.0,17.5,123.0,14.5
1612,1612,0,2,0,1,1200,1,40-10,500000.0,5,23.94,22.81,23.47,,23.94,46.75,70.22,,1,6,8.0,19.0,65.0,15.5
1613,1613,0,3,0,1,1200,1,60-40,640000.0,4,23.72,22.7,23.87,,23.72,46.42,70.29,,6,10,3.0,128.5,19.0,12.5
1614,1614,0,4,0,1,1650,1,60-40,640000.0,4,27.97,23.22,24.39,25.27,27.97,51.19,75.58,100.85,9,8,12.0,15.5,23.5,24.0
1615,1615,0,5,0,1,1650,1,80-60,850000.0,3,28.03,23.05,24.3,24.52,28.03,51.08,75.38,99.9,1,8,13.0,49.5,33.0,47.0
1616,1616,0,6,0,1,1200,1,85-60,850000.0,3,23.77,22.53,23.43,,23.77,46.3,69.73,,8,1,12.0,45.0,12.0,95.5
1617,1617,0,7,0,1,1200,1,80-60,850000.0,3,23.56,22.7,23.41,,23.56,46.26,69.67,,8,6,12.0,33.5,14.0,98.5
1618,1618,0,8,0,1,1650,1,105-80,1400000.0,1,27.66,22.59,23.92,25.22,27.66,50.25,74.17,99.39,11,13,10.0,17.0,84.0,109.5
